ds,y
2018-03-20,126823
2018-03-21,126635
2018-03-22,128344
2018-03-23,144999
2018-03-24,68339
2018-03-25,117
2018-03-26,115239
2018-03-27,135463
2018-03-28,131802
2018-03-29,123224
2018-03-30,140124
2018-03-31,72034
2018-04-01,331
2018-04-02,115169
2018-04-03,138836
2018-04-04,131698
2018-04-05,122768
2018-04-06,134730
2018-04-07,66712
2018-04-08,92
2018-04-09,124852
2018-04-10,136701
2018-04-11,139762
2018-04-12,123008
2018-04-13,140923
2018-04-14,62142
2018-04-15,133
2018-04-16,120225
2018-04-17,133664
2018-04-18,127607
2018-04-19,133680
2018-04-20,140156
2018-04-21,65186
2018-04-22,96
2018-04-23,118240
2018-04-24,128720
2018-04-25,142919
2018-04-26,136769
2018-04-27,134424
2018-04-28,75878
2018-04-29,99
2018-04-30,123482
2018-05-01,90179
2018-05-02,135776
2018-05-03,137558
2018-05-04,149527
2018-05-05,61913
2018-05-06,87
2018-05-07,71029
2018-05-08,126805
2018-05-09,146654
2018-05-10,134523
2018-05-11,142900
2018-05-12,66026
2018-05-13,59
2018-05-14,123144
2018-05-15,137404
2018-05-16,129940
2018-05-17,131446
2018-05-18,133778
2018-05-19,73991
2018-05-20,94
2018-05-21,132330
2018-05-22,76847
2018-05-23,127937
2018-05-24,139590
2018-05-25,148081
2018-05-26,70832
2018-05-27,85
2018-05-28,122431
2018-05-29,129091
2018-05-30,133893
2018-05-31,135205
2018-06-01,151645
2018-06-02,80376
2018-06-03,141
2018-06-04,121366
2018-06-05,149639
2018-06-06,87293
2018-06-07,132558
2018-06-08,152488
2018-06-09,75257
2018-06-10,101
2018-06-11,129490
2018-06-12,149735
2018-06-13,94520
2018-06-14,125617
2018-06-15,149532
2018-06-16,76207
2018-06-17,147
2018-06-18,124122
2018-06-19,134567
2018-06-20,143257
2018-06-21,136410
2018-06-22,148795
2018-06-23,68941
2018-06-24,83
2018-06-25,127262
2018-06-26,128643
2018-06-27,126060
2018-06-28,121336
2018-06-29,125483
2018-06-30,79281
2018-07-01,5954
2018-07-02,126335
2018-07-03,134012
2018-07-04,131919
2018-07-05,122324
2018-07-06,127417
2018-07-07,74862
2018-07-08,78
2018-07-09,115683
2018-07-10,124720
2018-07-11,126352
2018-07-12,124312
2018-07-13,127177
2018-07-14,76186
2018-07-15,156
2018-07-16,132531
2018-07-17,121217
2018-07-18,130498
2018-07-19,127384
2018-07-20,131860
2018-07-21,80296
2018-07-22,79
2018-07-23,123753
2018-07-24,127136
2018-07-25,126976
2018-07-26,125322
2018-07-27,129436
2018-07-28,81123
2018-07-29,143
2018-07-30,128873
2018-07-31,120752
2018-08-01,125962
2018-08-02,123839
2018-08-03,115805
2018-08-04,65896
2018-08-05,135
2018-08-06,116129
