ds,y
2018-03-16,208348
2018-03-17,99252
2018-03-18,32955
2018-03-19,194041
2018-03-20,221225
2018-03-21,201728
2018-03-22,208737
2018-03-23,205112
2018-03-24,96368
2018-03-25,49974
2018-03-26,207925
2018-03-27,234789
2018-03-28,236295
2018-03-29,230999
2018-03-30,221709
2018-03-31,833516
2018-04-01,590936
2018-04-02,250941
2018-04-03,238820
2018-04-04,219590
2018-04-05,207096
2018-04-06,206683
2018-04-07,97447
2018-04-08,33003
2018-04-09,219184
2018-04-10,242987
2018-04-11,219902
2018-04-12,220709
2018-04-13,207689
2018-04-14,104309
2018-04-15,44260
2018-04-16,202504
2018-04-17,222785
2018-04-18,214169
2018-04-19,215011
2018-04-20,216462
2018-04-21,96416
2018-04-22,33894
2018-04-23,190371
2018-04-24,222572
2018-04-25,256088
2018-04-26,232180
2018-04-27,231754
2018-04-28,123901
2018-04-29,37043
2018-04-30,900749
2018-05-01,271820
2018-05-02,230114
2018-05-03,244645
2018-05-04,247951
2018-05-05,91806
2018-05-06,33753
2018-05-07,120474
2018-05-08,224555
2018-05-09,236186
2018-05-10,240077
2018-05-11,228149
2018-05-12,102583
2018-05-13,34800
2018-05-14,226210
2018-05-15,250449
2018-05-16,225341
2018-05-17,223824
2018-05-18,224788
2018-05-19,112412
2018-05-20,51329
2018-05-21,208392
2018-05-22,123401
2018-05-23,229496
2018-05-24,238722
2018-05-25,285011
2018-05-26,105053
2018-05-27,34909
2018-05-28,218912
2018-05-29,234303
2018-05-30,238347
2018-05-31,1057233
2018-06-01,355314
2018-06-02,114938
2018-06-03,40129
2018-06-04,228539
2018-06-05,243697
2018-06-06,134895
2018-06-07,233839
2018-06-08,233422
2018-06-09,107756
2018-06-10,41105
2018-06-11,223039
2018-06-12,238762
2018-06-13,139164
2018-06-14,232021
2018-06-15,253208
2018-06-16,112644
2018-06-17,40012
2018-06-18,215136
2018-06-19,227910
2018-06-20,239938
2018-06-21,219094
2018-06-22,223154
2018-06-23,109585
2018-06-24,38468
2018-06-25,255360
2018-06-26,225282
2018-06-27,234150
2018-06-28,232382
2018-06-29,250922
2018-06-30,955522
2018-07-01,152285
2018-07-02,220985
2018-07-03,225718
2018-07-04,231069
2018-07-05,221644
2018-07-06,219931
2018-07-07,104925
2018-07-08,39393
2018-07-09,204238
2018-07-10,227690
2018-07-11,223883
2018-07-12,226544
2018-07-13,230644
2018-07-14,120059
2018-07-15,59272
2018-07-16,230555
2018-07-17,238830
2018-07-18,238527
2018-07-19,233893
2018-07-20,232140
2018-07-21,110433
2018-07-22,42676
2018-07-23,225839
2018-07-24,243811
2018-07-25,326396
2018-07-26,244431
2018-07-27,235892
2018-07-28,123364
2018-07-29,42663
2018-07-30,219749
2018-07-31,1129955
2018-08-01,342409
2018-08-02,206842
2018-08-03,204866
2018-08-04,117657
2018-08-05,43026
2018-08-06,218802
2018-08-07,222735
2018-08-08,220953
2018-08-09,222277
2018-08-10,223580
2018-08-11,107754
2018-08-12,38764
2018-08-13,226914
2018-08-14,237063
2018-08-15,155203
2018-08-16,237760
2018-08-17,236437
2018-08-18,119985
2018-08-19,39385
2018-08-20,232118
2018-08-21,236314
2018-08-22,220735
2018-08-23,205168
2018-08-24,205714
2018-08-25,149794
2018-08-26,41077
2018-08-27,227365
2018-08-28,241435
2018-08-29,242241
2018-08-30,242445
2018-08-31,1022824
2018-09-01,263788
2018-09-02,43656
2018-09-03,249848
2018-09-04,267002
2018-09-05,260445
2018-09-06,252751
2018-09-07,250973
2018-09-08,124140
2018-09-09,45591
2018-09-10,251228
2018-09-11,267660
2018-09-12,263182
2018-09-13,258659
2018-09-14,248970
2018-09-15,147344
2018-09-16,46376
2018-09-17,248351
2018-09-18,287870
2018-09-19,290203
2018-09-20,306545
2018-09-21,243210
2018-09-22,94805
2018-09-23,8709
2018-09-24,2588
2018-09-25,59070
2018-09-26,77154
2018-09-27,222343
2018-09-28,240873
2018-09-29,123612
2018-09-30,881298
2018-10-01,327595
2018-10-02,250131
2018-10-03,134808
2018-10-04,235981
2018-10-05,224000
2018-10-06,102407
2018-10-07,34943
2018-10-08,211229
2018-10-09,129213
2018-10-10,237166
2018-10-11,237219
2018-10-12,223914
2018-10-13,100719
2018-10-14,35670
2018-10-15,232112
2018-10-16,231429
2018-10-17,228034
2018-10-18,223218
2018-10-19,222027
2018-10-20,103127
2018-10-21,35226
2018-10-22,216991
2018-10-23,222331
2018-10-24,218465
2018-10-25,255996
2018-10-26,198776
2018-10-27,92112
2018-10-28,33498
2018-10-29,206013
2018-10-30,225493
2018-10-31,1089732
2018-11-01,346679
2018-11-02,216543
2018-11-03,103923
2018-11-04,36809
2018-11-05,209278
2018-11-06,236313
2018-11-07,216775
2018-11-08,205467
2018-11-09,206190
2018-11-10,109776
2018-11-11,34516
2018-11-12,206710
2018-11-13,220887
2018-11-14,214514
2018-11-15,234727
2018-11-16,236525
2018-11-17,97183
2018-11-18,34122
2018-11-19,200972
2018-11-20,221666
2018-11-21,208790
2018-11-22,206538
2018-11-23,199685
2018-11-24,88687
2018-11-25,61718
2018-11-26,196680
2018-11-27,209699
2018-11-28,210577
2018-11-29,206420
2018-11-30,671013
2018-12-01,293478
2018-12-02,33786
2018-12-03,214105
2018-12-04,225872
2018-12-05,221981
2018-12-06,209697
2018-12-07,205804
2018-12-08,87261
2018-12-09,30082
2018-12-10,207674
2018-12-11,207295
2018-12-12,210756
2018-12-13,209447
2018-12-14,205629
2018-12-15,109642
2018-12-16,33260
2018-12-17,201329
2018-12-18,220744
2018-12-19,215900
2018-12-20,217680
2018-12-21,210766
2018-12-22,94958
2018-12-23,32833
2018-12-24,180213
2018-12-25,113118
2018-12-26,217765
2018-12-27,220011
2018-12-28,216621
2018-12-29,106644
2018-12-30,38976
2018-12-31,585939
2019-01-01,186989
2019-01-02,243239
2019-01-03,245403
2019-01-04,238241
2019-01-05,115151
2019-01-06,34915
2019-01-07,225327
2019-01-08,235552
2019-01-09,227514
