ds,y
2018-03-20,10536
2018-03-21,2921
2018-03-22,2315
2018-03-23,2961
2018-03-24,1920
2018-03-25,33874
2018-03-26,4656
2018-03-27,3276
2018-03-28,2386
2018-03-29,2981
2018-03-30,3753
2018-03-31,321144
2018-04-01,260812
2018-04-02,3130
2018-04-03,2046
2018-04-04,1838
2018-04-05,1972
2018-04-06,2319
2018-04-07,1431
2018-04-08,755
2018-04-09,1953
2018-04-10,2577
2018-04-11,1685
2018-04-12,2362
2018-04-13,2073
2018-04-14,1780
2018-04-15,3796
2018-04-16,2482
2018-04-17,2605
2018-04-18,2113
2018-04-19,1946
2018-04-20,10916
2018-04-21,1776
2018-04-22,940
2018-04-23,2317
2018-04-24,2854
2018-04-25,40974
2018-04-26,5680
2018-04-27,2938
2018-04-28,1756
2018-04-29,1498
2018-04-30,335010
2018-05-01,278043
2018-05-02,1905
2018-05-03,2746
2018-05-04,1881
2018-05-05,1010
2018-05-06,795
2018-05-07,1708
2018-05-08,1879
2018-05-09,2746
2018-05-10,2297
2018-05-11,1951
2018-05-12,1474
2018-05-13,855
2018-05-14,1974
2018-05-15,6357
2018-05-16,1957
2018-05-17,1693
2018-05-18,1778
2018-05-19,1530
2018-05-20,7592
2018-05-21,2325
2018-05-22,1193
2018-05-23,2240
2018-05-24,2100
2018-05-25,41008
2018-05-26,3759
2018-05-27,1413
2018-05-28,2183
2018-05-29,2366
2018-05-30,3726
2018-05-31,344484
2018-06-01,266073
2018-06-02,1156
2018-06-03,1032
2018-06-04,1878
2018-06-05,2432
2018-06-06,1657
2018-06-07,2933
2018-06-08,2004
2018-06-09,1385
2018-06-10,1250
2018-06-11,2092
2018-06-12,2963
2018-06-13,1609
2018-06-14,2493
2018-06-15,5169
2018-06-16,2277
2018-06-17,1185
2018-06-18,2044
2018-06-19,2157
2018-06-20,9466
2018-06-21,2939
2018-06-22,2408
2018-06-23,748
2018-06-24,89
2018-06-25,42928
2018-06-26,7925
2018-06-27,2239
2018-06-28,2873
2018-06-29,3283
2018-06-30,337956
2018-07-01,324299
2018-07-02,2025
2018-07-03,1992
2018-07-04,2712
2018-07-05,1879
2018-07-06,1986
2018-07-07,1522
2018-07-08,1147
2018-07-09,1452
2018-07-10,1966
2018-07-11,1774
2018-07-12,1468
2018-07-13,2874
2018-07-14,1541
2018-07-15,3611
2018-07-16,1849
2018-07-17,5694
2018-07-18,1471
2018-07-19,1889
2018-07-20,6878
2018-07-21,1785
2018-07-22,1137
2018-07-23,1665
2018-07-24,1247
2018-07-25,44183
2018-07-26,12236
2018-07-27,2170
2018-07-28,1302
2018-07-29,1045
2018-07-30,9289
2018-07-31,347402
2018-08-01,293432
2018-08-02,2253
2018-08-03,1843
2018-08-04,1492
2018-08-05,1290
2018-08-06,2703
2018-08-07,1967
2018-08-08,1809
2018-08-09,1955
2018-08-10,2245
2018-08-11,1589
2018-08-12,1158
2018-08-13,2089
2018-08-14,1964
2018-08-15,4566
2018-08-16,2335
2018-08-17,2845
2018-08-18,1647
2018-08-19,1244
2018-08-20,8419
2018-08-21,2645
2018-08-22,2079
2018-08-23,1994
2018-08-24,5743
2018-08-25,42569
2018-08-26,7020
2018-08-27,1690
2018-08-28,2146
2018-08-29,2081
2018-08-30,4251
2018-08-31,360027
2018-09-01,308818
2018-09-02,1117
2018-09-03,2297
2018-09-04,1932
2018-09-05,2512
2018-09-06,3130
2018-09-07,2545
2018-09-08,4627
2018-09-09,1071
2018-09-10,2898
2018-09-11,1928
2018-09-12,2288
2018-09-13,1976
2018-09-14,2524
2018-09-15,4659
2018-09-16,1519
2018-09-17,2563
2018-09-18,5134
2018-09-19,1889
2018-09-20,8333
2018-09-21,3343
2018-09-22,2283
2018-09-23,989
2018-09-24,217
2018-09-25,41383
2018-09-26,7225
2018-09-27,2264
2018-09-28,2771
2018-09-29,1312
2018-09-30,352955
2018-10-01,261631
2018-10-02,3160
2018-10-03,2326
2018-10-04,2498
2018-10-05,1656
2018-10-06,1468
2018-10-07,1005
2018-10-08,1713
2018-10-09,2223
2018-10-10,1740
2018-10-11,2454
2018-10-12,1740
2018-10-13,1348
2018-10-14,882
2018-10-15,3979
2018-10-16,2055
2018-10-17,2507
2018-10-18,2796
2018-10-19,2159
2018-10-20,6205
2018-10-21,1322
2018-10-22,1991
2018-10-23,4078
2018-10-24,1967
2018-10-25,47428
2018-10-26,6558
2018-10-27,1572
2018-10-28,915
2018-10-29,2190
2018-10-30,4609
2018-10-31,339907
2018-11-01,255189
2018-11-02,1720
2018-11-03,1359
2018-11-04,751
2018-11-05,1841
2018-11-06,2468
2018-11-07,1470
2018-11-08,1703
2018-11-09,1991
2018-11-10,1716
2018-11-11,564
2018-11-12,2154
2018-11-13,2024
2018-11-14,1913
2018-11-15,4580
2018-11-16,2837
2018-11-17,1927
2018-11-18,714
2018-11-19,2684
2018-11-20,7941
2018-11-21,3171
2018-11-22,2329
2018-11-23,3463
2018-11-24,1641
2018-11-25,37412
2018-11-26,6183
2018-11-27,1973
